Customer ID,Age,Gender,Location,Annual Income,Total_Spent,Total_Purchases,Avg_Purchase_Value,Purchase History,Browsing History,Product Reviews,Time on Site
1000,45,Other,City B,59900,252.07,3,84.02,"[{""Date"": ""2022-05-21"", ""Category"": ""Books"", ""Price"": 13.99}, {""Date"": ""2022-03-13"", ""Category"": ""Sports & Outdoors"", ""Price"": 118.77}, {""Date"": ""2022-12-13"", ""Category"": ""Sports & Outdoors"", ""Price"": 119.31}]","[{""Timestamp"": ""2022-05-29T00:00:00Z"", ""Product Category"": ""Books""}, {""Timestamp"": ""2022-05-17T00:00:00Z"", ""Product Category"": ""Sports & Outdoors""}, {""Timestamp"": ""2022-05-28T00:00:00Z"", ""Product Category"": ""Sports & Outdoors""}, {""Timestamp"": ""2022-12-20T00:00:00Z"", ""Product Category"": ""Sports & Outdoors""}, {""Timestamp"": ""2022-12-11T00:00:00Z"", ""Product Category"": ""Beauty & Health""}, {""Timestamp"": ""2022-05-16T00:00:00Z"", ""Product Category"": ""Sports & Outdoors""}, {""Timestamp"": ""2022-03-07T00:00:00Z"", ""Product Category"": ""Sports & Outdoors""}, {""Timestamp"": ""2022-05-13T00:00:00Z"", ""Product Category"": ""Sports & Outdoors""}, {""Timestamp"": ""2022-03-22T00:00:00Z"", ""Product Category"": ""Books""}, {""Timestamp"": ""2022-12-17T00:00:00Z"", ""Product Category"": ""Sports & Outdoors""}, {""Timestamp"": ""2022-05-28T00:00:00Z"", ""Product Category"": ""Sports & Outdoors""}, {""Timestamp"": ""2022-12-14T00:00:00Z"", ""Product Category"": ""Sports & Outdoors""}]","{""reviews"": [{""Product"": ""Books"", ""Rating"": 4.1, ""Review"": ""Very good books. Happy with purchase.""}, {""Product"": ""Sports & Outdoors"", ""Rating"": 4.3, ""Review"": ""Very good sports & outdoors. Happy with purchase.""}, {""Product"": ""Sports & Outdoors"", ""Rating"": 3.5, ""Review"": ""Decent sports & outdoors. Met expectations.""}]}",81.2
1001,38,Male,City B,49212,337.9,2,168.95,"[{""Date"": ""2022-08-21"", ""Category"": ""Electronics"", ""Price"": 247.26}, {""Date"": ""2022-07-06"", ""Category"": ""Electronics"", ""Price"": 90.64}]","[{""Timestamp"": ""2022-08-19T00:00:00Z"", ""Product Category"": ""Home & Garden""}, {""Timestamp"": ""2022-08-30T00:00:00Z"", ""Product Category"": ""Electronics""}, {""Timestamp"": ""2022-08-25T00:00:00Z"", ""Product Category"": ""Electronics""}]","{""reviews"": [{""Product"": ""Electronics"", ""Rating"": 3.5, ""Review"": ""Decent electronics. Met expectations.""}]}",29.9
1002,47,Male,City F,48045,96.69,3,32.23,"[{""Date"": ""2022-02-03"", ""Category"": ""Clothing"", ""Price"": 31.85}, {""Date"": ""2022-10-18"", ""Category"": ""Books"", ""Price"": 32.82}, {""Date"": ""2022-06-11"", ""Category"": ""Clothing"", ""Price"": 32.02}]","[{""Timestamp"": ""2022-10-28T00:00:00Z"", ""Product Category"": ""Books""}, {""Timestamp"": ""2022-01-31T00:00:00Z"", ""Product Category"": ""Electronics""}, {""Timestamp"": ""2022-06-09T00:00:00Z"", ""Product Category"": ""Home & Garden""}, {""Timestamp"": ""2022-10-26T00:00:00Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2022-02-09T00:00:00Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2022-01-28T00:00:00Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2022-10-27T00:00:00Z"", ""Product Category"": ""Books""}]","{""reviews"": [{""Product"": ""Clothing"", ""Rating"": 4.7, ""Review"": ""Excellent clothing! Highly recommend.""}, {""Product"": ""Books"", ""Rating"": 4.8, ""Review"": ""Excellent books! Highly recommend.""}]}",53.9
1003,58,Other,City A,49541,329.57,3,109.86,"[{""Date"": ""2022-02-28"", ""Category"": ""Home & Garden"", ""Price"": 156.52}, {""Date"": ""2022-10-02"", ""Category"": ""Clothing"", ""Price"": 85.72}, {""Date"": ""2022-11-25"", ""Category"": ""Home & Garden"", ""Price"": 87.33}]","[{""Timestamp"": ""2022-09-27T00:00:00Z"", ""Product Category"": ""Home & Garden""}, {""Timestamp"": ""2022-11-23T00:00:00Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2022-03-06T00:00:00Z"", ""Product Category"": ""Home & Garden""}, {""Timestamp"": ""2022-11-24T00:00:00Z"", ""Product Category"": ""Home & Garden""}, {""Timestamp"": ""2022-12-04T00:00:00Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2022-03-07T00:00:00Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2022-11-15T00:00:00Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2022-02-21T00:00:00Z"", ""Product Category"": ""Electronics""}]",,70.4
1004,37,Female,City D,46890,251.92,2,125.96,"[{""Date"": ""2022-10-18"", ""Category"": ""Sports & Outdoors"", ""Price"": 139.29}, {""Date"": ""2022-02-13"", ""Category"": ""Sports & Outdoors"", ""Price"": 112.63}]","[{""Timestamp"": ""2022-10-12T00:00:00Z"", ""Product Category"": ""Sports & Outdoors""}, {""Timestamp"": ""2022-02-19T00:00:00Z"", ""Product Category"": ""Electronics""}, {""Timestamp"": ""2022-02-09T00:00:00Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2022-10-17T00:00:00Z"", ""Product Category"": ""Sports & Outdoors""}, {""Timestamp"": ""2022-02-19T00:00:00Z"", ""Product Category"": ""Sports & Outdoors""}]","{""reviews"": [{""Product"": ""Sports & Outdoors"", ""Rating"": 3.9, ""Review"": ""Decent sports & outdoors. Met expectations.""}, {""Product"": ""Sports & Outdoors"", ""Rating"": 3.4, ""Review"": ""Decent sports & outdoors. Met expectations.""}]}",56.2
1005,37,Other,City D,43982,148.22,3,49.41,"[{""Date"": ""2022-12-29"", ""Category"": ""Sports & Outdoors"", ""Price"": 99.03}, {""Date"": ""2022-04-28"", ""Category"": ""Clothing"", ""Price"": 17.38}, {""Date"": ""2022-01-17"", ""Category"": ""Books"", ""Price"": 31.81}]","[{""Timestamp"": ""2022-01-14T00:00:00Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2023-01-05T00:00:00Z"", ""Product Category"": ""Books""}, {""Timestamp"": ""2022-01-22T00:00:00Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2022-04-24T00:00:00Z"", ""Product Category"": ""Books""}, {""Timestamp"": ""2022-04-29T00:00:00Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2022-01-08T00:00:00Z"", ""Product Category"": ""Books""}, {""Timestamp"": ""2022-12-20T00:00:00Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2022-12-26T00:00:00Z"", ""Product Category"": ""Books""}, {""Timestamp"": ""2022-04-22T00:00:00Z"", ""Product Category"": ""Clothing""}]","{""reviews"": [{""Product"": ""Clothing"", ""Rating"": 5, ""Review"": ""Excellent clothing! Highly recommend.""}]}",90.4
1006,58,Other,City B,64924,579.19,3,193.06,"[{""Date"": ""2022-10-04"", ""Category"": ""Electronics"", ""Price"": 332.06}, {""Date"": ""2022-02-17"", ""Category"": ""Home & Garden"", ""Price"": 217.95}, {""Date"": ""2022-05-02"", ""Category"": ""Clothing"", ""Price"": 29.18}]","[{""Timestamp"": ""2022-02-13T00:00:00Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2022-09-29T00:00:00Z"", ""Product Category"": ""Home & Garden""}, {""Timestamp"": ""2022-02-21T00:00:00Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2022-05-09T00:00:00Z"", ""Product Category"": ""Home & Garden""}, {""Timestamp"": ""2022-09-30T00:00:00Z"", ""Product Category"": ""Electronics""}, {""Timestamp"": ""2022-05-09T00:00:00Z"", ""Product Category"": ""Home & Garden""}, {""Timestamp"": ""2022-09-25T00:00:00Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2022-04-27T00:00:00Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2022-09-29T00:00:00Z"", ""Product Category"": ""Electronics""}, {""Timestamp"": ""2022-04-29T00:00:00Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2022-10-12T00:00:00Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2022-10-07T00:00:00Z"", ""Product Category"": ""Clothing""}]","{""reviews"": [{""Product"": ""Electronics"", ""Rating"": 3.5, ""Review"": ""Decent electronics. Met expectations.""}, {""Product"": ""Home & Garden"", ""Rating"": 4.2, ""Review"": ""Very good home & garden. Happy with purchase.""}]}",89.6
1007,49,Male,City E,56006,135.79,3,45.26,"[{""Date"": ""2022-12-10"", ""Category"": ""Beauty & Health"", ""Price"": 51.38}, {""Date"": ""2022-08-23"", ""Category"": ""Clothing"", ""Price"": 43.52}, {""Date"": ""2022-02-07"", ""Category"": ""Electronics"", ""Price"": 40.89}]","[{""Timestamp"": ""2022-01-31T00:00:00Z"", ""Product Category"": ""Beauty & Health""}, {""Timestamp"": ""2022-02-05T00:00:00Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2022-12-07T00:00:00Z"", ""Product Category"": ""Beauty & Health""}, {""Timestamp"": ""2022-08-30T00:00:00Z"", ""Product Category"": ""Electronics""}, {""Timestamp"": ""2022-02-17T00:00:00Z"", ""Product Category"": ""Electronics""}, {""Timestamp"": ""2022-02-06T00:00:00Z"", ""Product Category"": ""Home & Garden""}, {""Timestamp"": ""2022-12-04T00:00:00Z"", ""Product Category"": ""Beauty & Health""}, {""Timestamp"": ""2022-02-14T00:00:00Z"", ""Product Category"": ""Clothing""}]","{""reviews"": [{""Product"": ""Clothing"", ""Rating"": 4.8, ""Review"": ""Excellent clothing! Highly recommend.""}, {""Product"": ""Beauty & Health"", ""Rating"": 3.5, ""Review"": ""Decent beauty & health. Met expectations.""}, {""Product"": ""Electronics"", ""Rating"": 3.9, ""Review"": ""Decent electronics. Met expectations.""}]}",54.6
1008,34,Other,City H,47718,98.79,2,49.4,"[{""Date"": ""2022-01-27"", ""Category"": ""Home & Garden"", ""Price"": 36.86}, {""Date"": ""2022-08-05"", ""Category"": ""Beauty & Health"", ""Price"": 61.93}]","[{""Timestamp"": ""2022-01-27T00:00:00Z"", ""Product Category"": ""Electronics""}, {""Timestamp"": ""2022-07-31T00:00:00Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2022-08-12T00:00:00Z"", ""Product Category"": ""Home & Garden""}, {""Timestamp"": ""2022-02-03T00:00:00Z"", ""Product Category"": ""Beauty & Health""}]","{""reviews"": [{""Product"": ""Beauty & Health"", ""Rating"": 3.8, ""Review"": ""Decent beauty & health. Met expectations.""}]}",51.7
1009,46,Male,City A,41247,476.16,2,238.08,"[{""Date"": ""2022-01-21"", ""Category"": ""Electronics"", ""Price"": 324.43}, {""Date"": ""2022-04-18"", ""Category"": ""Home & Garden"", ""Price"": 151.73}]","[{""Timestamp"": ""2022-04-25T00:00:00Z"", ""Product Category"": ""Home & Garden""}, {""Timestamp"": ""2022-04-27T00:00:00Z"", ""Product Category"": ""Books""}, {""Timestamp"": ""2022-01-16T00:00:00Z"", ""Product Category"": ""Electronics""}]",,24.0
