Customer ID,Age,Gender,Location,Annual Income,Purchase History,Browsing History,Product Reviews,Time on Site
1000,19,Other,City E,59795498,"[{""Date"": ""2022-11-10"", ""Category"": ""Books"", ""Price"": 297.37}, {""Date"": ""2022-06-03"", ""Category"": ""Beauty & Health"", ""Price"": 251.92}, {""Date"": ""2022-09-30"", ""Category"": ""Beauty & Health"", ""Price"": 103.94}, {""Date"": ""2022-01-09"", ""Category"": ""Sports & Outdoors"", ""Price"": 50.69}, {""Date"": ""2022-08-02"", ""Category"": ""Toys & Games"", ""Price"": 271.65}, {""Date"": ""2022-12-19"", ""Category"": ""Beauty & Health"", ""Price"": 152.89}]","[{""Timestamp"": ""2022-07-17T00:00:00Z"", ""Product Category"": ""Beauty & Health""}, {""Timestamp"": ""2021-12-20T00:00:00Z"", ""Product Category"": ""Beauty & Health""}, {""Timestamp"": ""2022-08-21T00:00:00Z"", ""Product Category"": ""Electronics""}, {""Timestamp"": ""2022-12-04T00:00:00Z"", ""Product Category"": ""Beauty & Health""}, {""Timestamp"": ""2022-10-23T00:00:00Z"", ""Product Category"": ""Beauty & Health""}, {""Timestamp"": ""2021-12-19T00:00:00Z"", ""Product Category"": ""Beauty & Health""}, {""Timestamp"": ""2022-01-11T00:00:00Z"", ""Product Category"": ""Books""}, {""Timestamp"": ""2023-01-04T00:00:00Z"", ""Product Category"": ""Beauty & Health""}, {""Timestamp"": ""2022-07-16T00:00:00Z"", ""Product Category"": ""Beauty & Health""}, {""Timestamp"": ""2022-01-12T00:00:00Z"", ""Product Category"": ""Beauty & Health""}, {""Timestamp"": ""2022-02-06T00:00:00Z"", ""Product Category"": ""Toys & Games""}]","{""reviews"": [{""Product"": ""Beauty & Health"", ""Rating"": 4.7, ""Review"": ""Excellent beauty & health! Highly recommend.""}, {""Product"": ""Beauty & Health"", ""Rating"": 4.5, ""Review"": ""Excellent beauty & health! Highly recommend.""}, {""Product"": ""Sports & Outdoors"", ""Rating"": 4.0, ""Review"": ""Decent quality for the price.""}]}",90.1
1001,33,Male,City J,46383277,"[{""Date"": ""2022-12-27"", ""Category"": ""Home & Garden"", ""Price"": 511.02}, {""Date"": ""2022-10-14"", ""Category"": ""Toys & Games"", ""Price"": 222.07}, {""Date"": ""2022-05-28"", ""Category"": ""Books"", ""Price"": 270.81}]","[{""Timestamp"": ""2022-11-02T00:00:00Z"", ""Product Category"": ""Home & Garden""}, {""Timestamp"": ""2022-12-15T00:00:00Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2022-11-12T00:00:00Z"", ""Product Category"": ""Toys & Games""}, {""Timestamp"": ""2022-05-28T00:00:00Z"", ""Product Category"": ""Books""}, {""Timestamp"": ""2022-11-12T00:00:00Z"", ""Product Category"": ""Toys & Games""}, {""Timestamp"": ""2022-12-03T00:00:00Z"", ""Product Category"": ""Books""}, {""Timestamp"": ""2022-12-12T00:00:00Z"", ""Product Category"": ""Books""}]","{""reviews"": [{""Product"": ""Home & Garden"", ""Rating"": 3.7, ""Review"": ""Good home & garden. Happy with my purchase.""}]}",41.7
1002,28,Other,City P,63517797,"[{""Date"": ""2022-12-15"", ""Category"": ""Clothing"", ""Price"": 387.23}, {""Date"": ""2022-03-22"", ""Category"": ""Books"", ""Price"": 153.69}]","[{""Timestamp"": ""2022-03-12T00:00:00Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2022-12-26T00:00:00Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2022-12-11T00:00:00Z"", ""Product Category"": ""Electronics""}, {""Timestamp"": ""2023-01-07T00:00:00Z"", ""Product Category"": ""Books""}]","{""reviews"": [{""Product"": ""Clothing"", ""Rating"": 4.3, ""Review"": ""Decent quality for the price.""}, {""Product"": ""Books"", ""Rating"": 4.2, ""Review"": ""Satisfied with this product.""}]}",45.5
1003,52,Female,City J,90148351,"[{""Date"": ""2022-11-25"", ""Category"": ""Clothing"", ""Price"": 377.88}, {""Date"": ""2022-09-16"", ""Category"": ""Clothing"", ""Price"": 80.55}, {""Date"": ""2022-03-25"", ""Category"": ""Sports & Outdoors"", ""Price"": 92.03}, {""Date"": ""2022-04-06"", ""Category"": ""Clothing"", ""Price"": 146.21}]","[{""Timestamp"": ""2022-09-25T00:00:00Z"", ""Product Category"": ""Books""}, {""Timestamp"": ""2022-04-08T00:00:00Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2022-11-06T00:00:00Z"", ""Product Category"": ""Books""}, {""Timestamp"": ""2022-04-23T00:00:00Z"", ""Product Category"": ""Sports & Outdoors""}, {""Timestamp"": ""2022-03-22T00:00:00Z"", ""Product Category"": ""Sports & Outdoors""}, {""Timestamp"": ""2022-03-14T00:00:00Z"", ""Product Category"": ""Clothing""}]","{""reviews"": [{""Product"": ""Clothing"", ""Rating"": 4.4, ""Review"": ""Satisfied with this product.""}, {""Product"": ""Clothing"", ""Rating"": 4.3, ""Review"": ""Good clothing. Happy with my purchase.""}]}",46.0
1004,38,Male,City M,44637904,"[{""Date"": ""2022-09-15"", ""Category"": ""Sports & Outdoors"", ""Price"": 235.56}, {""Date"": ""2022-12-20"", ""Category"": ""Home & Garden"", ""Price"": 405.49}, {""Date"": ""2022-04-24"", ""Category"": ""Electronics"", ""Price"": 475.73}, {""Date"": ""2022-11-07"", ""Category"": ""Books"", ""Price"": 232.06}, {""Date"": ""2022-12-07"", ""Category"": ""Toys & Games"", ""Price"": 89.29}, {""Date"": ""2022-11-02"", ""Category"": ""Clothing"", ""Price"": 229.18}]","[{""Timestamp"": ""2022-10-26T00:00:00Z"", ""Product Category"": ""Toys & Games""}, {""Timestamp"": ""2022-08-19T00:00:00Z"", ""Product Category"": ""Beauty & Health""}, {""Timestamp"": ""2022-12-26T00:00:00Z"", ""Product Category"": ""Home & Garden""}, {""Timestamp"": ""2022-05-18T00:00:00Z"", ""Product Category"": ""Sports & Outdoors""}, {""Timestamp"": ""2022-10-16T00:00:00Z"", ""Product Category"": ""Books""}, {""Timestamp"": ""2022-10-12T00:00:00Z"", ""Product Category"": ""Sports & Outdoors""}, {""Timestamp"": ""2022-10-16T00:00:00Z"", ""Product Category"": ""Books""}, {""Timestamp"": ""2022-11-10T00:00:00Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2022-05-10T00:00:00Z"", ""Product Category"": ""Electronics""}, {""Timestamp"": ""2022-10-02T00:00:00Z"", ""Product Category"": ""Sports & Outdoors""}, {""Timestamp"": ""2022-09-12T00:00:00Z"", ""Product Category"": ""Sports & Outdoors""}]","{""reviews"": [{""Product"": ""Sports & Outdoors"", ""Rating"": 4.5, ""Review"": ""Love this product! Exceeded my expectations.""}]}",48.2
1005,27,Female,City F,44638197,"[{""Date"": ""2022-11-25"", ""Category"": ""Sports & Outdoors"", ""Price"": 289.86}, {""Date"": ""2022-07-11"", ""Category"": ""Books"", ""Price"": 145.59}, {""Date"": ""2022-07-13"", ""Category"": ""Sports & Outdoors"", ""Price"": 264.88}]","[{""Timestamp"": ""2022-08-07T00:00:00Z"", ""Product Category"": ""Sports & Outdoors""}, {""Timestamp"": ""2022-07-08T00:00:00Z"", ""Product Category"": ""Sports & Outdoors""}, {""Timestamp"": ""2022-12-18T00:00:00Z"", ""Product Category"": ""Sports & Outdoors""}, {""Timestamp"": ""2022-07-10T00:00:00Z"", ""Product Category"": ""Sports & Outdoors""}, {""Timestamp"": ""2022-07-15T00:00:00Z"", ""Product Category"": ""Sports & Outdoors""}]","{""reviews"": [{""Product"": ""Sports & Outdoors"", ""Rating"": 3.7, ""Review"": ""Good sports & outdoors. Happy with my purchase.""}, {""Product"": ""Books"", ""Rating"": 4.7, ""Review"": ""Perfect purchase. Will definitely buy again.""}]}",60.3
1006,41,Male,City N,92197207,"[{""Date"": ""2022-01-09"", ""Category"": ""Electronics"", ""Price"": 1269.1}, {""Date"": ""2022-08-17"", ""Category"": ""Clothing"", ""Price"": 128.1}, {""Date"": ""2022-01-23"", ""Category"": ""Electronics"", ""Price"": 591.08}, {""Date"": ""2022-01-29"", ""Category"": ""Electronics"", ""Price"": 1668.42}, {""Date"": ""2022-10-22"", ""Category"": ""Sports & Outdoors"", ""Price"": 249.15}]","[{""Timestamp"": ""2022-02-18T00:00:00Z"", ""Product Category"": ""Sports & Outdoors""}, {""Timestamp"": ""2022-08-13T00:00:00Z"", ""Product Category"": ""Electronics""}, {""Timestamp"": ""2022-11-21T00:00:00Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2022-02-03T00:00:00Z"", ""Product Category"": ""Electronics""}, {""Timestamp"": ""2022-02-18T00:00:00Z"", ""Product Category"": ""Electronics""}, {""Timestamp"": ""2022-01-08T00:00:00Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2022-10-22T00:00:00Z"", ""Product Category"": ""Clothing""}]","{""reviews"": [{""Product"": ""Clothing"", ""Rating"": 4.1, ""Review"": ""Satisfied with this product.""}, {""Product"": ""Electronics"", ""Rating"": 5, ""Review"": ""Love this product! Exceeded my expectations.""}, {""Product"": ""Electronics"", ""Rating"": 3.7, ""Review"": ""Decent quality for the price.""}]}",55.9
1007,53,Male,City M,66634243,"[{""Date"": ""2022-05-11"", ""Category"": ""Toys & Games"", ""Price"": 123.9}, {""Date"": ""2022-10-02"", ""Category"": ""Electronics"", ""Price"": 292.77}]","[{""Timestamp"": ""2022-06-05T00:00:00Z"", ""Product Category"": ""Toys & Games""}, {""Timestamp"": ""2022-09-15T00:00:00Z"", ""Product Category"": ""Home & Garden""}, {""Timestamp"": ""2022-10-30T00:00:00Z"", ""Product Category"": ""Toys & Games""}, {""Timestamp"": ""2022-05-28T00:00:00Z"", ""Product Category"": ""Books""}, {""Timestamp"": ""2022-05-25T00:00:00Z"", ""Product Category"": ""Toys & Games""}, {""Timestamp"": ""2022-10-30T00:00:00Z"", ""Product Category"": ""Electronics""}]","{""reviews"": [{""Product"": ""Electronics"", ""Rating"": 4.9, ""Review"": ""Love this product! Exceeded my expectations.""}, {""Product"": ""Toys & Games"", ""Rating"": 4.1, ""Review"": ""Decent quality for the price.""}]}",33.9
1008,45,Female,City O,40627897,"[{""Date"": ""2022-08-29"", ""Category"": ""Home & Garden"", ""Price"": 919.47}]","[{""Timestamp"": ""2022-08-25T00:00:00Z"", ""Product Category"": ""Home & Garden""}, {""Timestamp"": ""2022-07-31T00:00:00Z"", ""Product Category"": ""Home & Garden""}, {""Timestamp"": ""2022-08-08T00:00:00Z"", ""Product Category"": ""Home & Garden""}, {""Timestamp"": ""2022-09-04T00:00:00Z"", ""Product Category"": ""Books""}]","{""reviews"": [{""Product"": ""Home & Garden"", ""Rating"": 3.7, ""Review"": ""Decent quality for the price.""}]}",35.8
1009,44,Other,City P,60902165,"[{""Date"": ""2022-03-28"", ""Category"": ""Home & Garden"", ""Price"": 219.11}, {""Date"": ""2022-10-07"", ""Category"": ""Beauty & Health"", ""Price"": 297.29}, {""Date"": ""2022-01-31"", ""Category"": ""Toys & Games"", ""Price"": 257.08}, {""Date"": ""2022-12-09"", ""Category"": ""Clothing"", ""Price"": 188.46}]","[{""Timestamp"": ""2022-04-12T00:00:00Z"", ""Product Category"": ""Beauty & Health""}, {""Timestamp"": ""2022-12-02T00:00:00Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2022-11-10T00:00:00Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2022-02-27T00:00:00Z"", ""Product Category"": ""Toys & Games""}, {""Timestamp"": ""2022-01-02T00:00:00Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2022-09-13T00:00:00Z"", ""Product Category"": ""Beauty & Health""}]","{""reviews"": [{""Product"": ""Toys & Games"", ""Rating"": 3.8, ""Review"": ""Decent quality for the price.""}]}",40.4
