Customer ID,Age,Gender,Location,Annual Income,Purchase History,Browsing History,Product Reviews,Time on Site
1000,43,Other,City B,59336,"[{""Date"": ""2022-05-21"", ""Category"": ""Books"", ""Price"": 9.66}, {""Date"": ""2022-03-13"", ""Category"": ""Sports & Outdoors"", ""Price"": 83.34}, {""Date"": ""2022-12-13"", ""Category"": ""Sports & Outdoors"", ""Price"": 83.71}]","[{""Timestamp"": ""2022-12-12T00:00:00Z"", ""Product Category"": ""Books""}, {""Timestamp"": ""2022-05-17T00:00:00Z"", ""Product Category"": ""Books""}, {""Timestamp"": ""2022-12-09T00:00:00Z"", ""Product Category"": ""Beauty & Health""}, {""Timestamp"": ""2022-12-14T00:00:00Z"", ""Product Category"": ""Sports & Outdoors""}, {""Timestamp"": ""2022-12-10T00:00:00Z"", ""Product Category"": ""Beauty & Health""}, {""Timestamp"": ""2022-05-26T00:00:00Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2022-12-12T00:00:00Z"", ""Product Category"": ""Books""}, {""Timestamp"": ""2022-05-26T00:00:00Z"", ""Product Category"": ""Books""}, {""Timestamp"": ""2022-03-07T00:00:00Z"", ""Product Category"": ""Sports & Outdoors""}, {""Timestamp"": ""2022-12-10T00:00:00Z"", ""Product Category"": ""Electronics""}, {""Timestamp"": ""2022-12-13T00:00:00Z"", ""Product Category"": ""Sports & Outdoors""}]",Okay for the price. Rating: 3.8 stars. ⭐⭐⭐☆☆ Decent sports & outdoors. Does the job. Rating: 3.4 stars. ⭐⭐⭐☆☆,85.7
1001,36,Other,City B,48535,"[{""Date"": ""2022-04-27"", ""Category"": ""Electronics"", ""Price"": 214.33}]","[{""Timestamp"": ""2022-05-03T00:00:00Z"", ""Product Category"": ""Electronics""}, {""Timestamp"": ""2022-04-30T00:00:00Z"", ""Product Category"": ""Home & Garden""}, {""Timestamp"": ""2022-04-25T00:00:00Z"", ""Product Category"": ""Electronics""}, {""Timestamp"": ""2022-04-29T00:00:00Z"", ""Product Category"": ""Clothing""}]",Average quality. Met basic expectations. Rating: 3.8 stars. ⭐⭐⭐☆☆,38.8
1002,45,Female,City E,44624,"[{""Date"": ""2022-11-24"", ""Category"": ""Electronics"", ""Price"": 189.73}, {""Date"": ""2022-04-23"", ""Category"": ""Home & Garden"", ""Price"": 117.01}]","[{""Timestamp"": ""2022-11-30T00:00:00Z"", ""Product Category"": ""Home & Garden""}, {""Timestamp"": ""2022-04-20T00:00:00Z"", ""Product Category"": ""Home & Garden""}, {""Timestamp"": ""2022-11-27T00:00:00Z"", ""Product Category"": ""Home & Garden""}, {""Timestamp"": ""2022-11-21T00:00:00Z"", ""Product Category"": ""Home & Garden""}, {""Timestamp"": ""2022-04-30T00:00:00Z"", ""Product Category"": ""Home & Garden""}, {""Timestamp"": ""2022-11-19T00:00:00Z"", ""Product Category"": ""Electronics""}]",,55.3
1003,56,Male,City C,43703,"[{""Date"": ""2022-12-15"", ""Category"": ""Beauty & Health"", ""Price"": 25.19}, {""Date"": ""2022-02-02"", ""Category"": ""Books"", ""Price"": 12.12}]","[{""Timestamp"": ""2022-02-03T00:00:00Z"", ""Product Category"": ""Books""}, {""Timestamp"": ""2022-12-18T00:00:00Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2022-02-07T00:00:00Z"", ""Product Category"": ""Home & Garden""}, {""Timestamp"": ""2022-12-12T00:00:00Z"", ""Product Category"": ""Books""}, {""Timestamp"": ""2022-12-19T00:00:00Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2022-02-03T00:00:00Z"", ""Product Category"": ""Home & Garden""}, {""Timestamp"": ""2022-12-21T00:00:00Z"", ""Product Category"": ""Home & Garden""}, {""Timestamp"": ""2022-12-10T00:00:00Z"", ""Product Category"": ""Beauty & Health""}, {""Timestamp"": ""2022-12-17T00:00:00Z"", ""Product Category"": ""Beauty & Health""}, {""Timestamp"": ""2022-12-22T00:00:00Z"", ""Product Category"": ""Books""}, {""Timestamp"": ""2022-12-08T00:00:00Z"", ""Product Category"": ""Beauty & Health""}]",Absolutely love this beauty & health! Perfect quality. Rating: 4.6 stars. ⭐⭐⭐⭐☆ Works well and looks good. Rating: 4.1 stars. ⭐⭐⭐⭐☆,67.7
1004,35,Female,City I,45563,"[{""Date"": ""2022-09-28"", ""Category"": ""Clothing"", ""Price"": 70.4}]","[{""Timestamp"": ""2022-10-05T00:00:00Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2022-09-27T00:00:00Z"", ""Product Category"": ""Electronics""}, {""Timestamp"": ""2022-09-28T00:00:00Z"", ""Product Category"": ""Sports & Outdoors""}, {""Timestamp"": ""2022-09-22T00:00:00Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2022-09-21T00:00:00Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2022-09-21T00:00:00Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2022-09-22T00:00:00Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2022-09-22T00:00:00Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2022-09-24T00:00:00Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2022-10-03T00:00:00Z"", ""Product Category"": ""Clothing""}]",Good quality for the price. Satisfied customer. Rating: 4.2 stars. ⭐⭐⭐⭐☆,57.8
1005,35,Female,City G,41990,"[{""Date"": ""2022-01-28"", ""Category"": ""Books"", ""Price"": 18.57}, {""Date"": ""2022-11-27"", ""Category"": ""Clothing"", ""Price"": 14.71}]","[{""Timestamp"": ""2022-12-02T00:00:00Z"", ""Product Category"": ""Sports & Outdoors""}, {""Timestamp"": ""2022-01-24T00:00:00Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2022-01-27T00:00:00Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2022-02-03T00:00:00Z"", ""Product Category"": ""Electronics""}, {""Timestamp"": ""2022-12-02T00:00:00Z"", ""Product Category"": ""Books""}, {""Timestamp"": ""2022-01-21T00:00:00Z"", ""Product Category"": ""Electronics""}, {""Timestamp"": ""2022-01-22T00:00:00Z"", ""Product Category"": ""Home & Garden""}, {""Timestamp"": ""2022-01-23T00:00:00Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2022-02-03T00:00:00Z"", ""Product Category"": ""Books""}, {""Timestamp"": ""2022-01-27T00:00:00Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2022-12-04T00:00:00Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2022-11-24T00:00:00Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2022-01-24T00:00:00Z"", ""Product Category"": ""Books""}]",Absolutely love this clothing! Perfect quality. Rating: 5 stars. ⭐⭐⭐⭐⭐,82.9
1006,56,Male,City J,62185,"[{""Date"": ""2022-09-29"", ""Category"": ""Clothing"", ""Price"": 20.94}, {""Date"": ""2022-09-18"", ""Category"": ""Electronics"", ""Price"": 49.71}, {""Date"": ""2022-04-06"", ""Category"": ""Electronics"", ""Price"": 46.7}]","[{""Timestamp"": ""2022-04-12T00:00:00Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2022-04-02T00:00:00Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2022-03-31T00:00:00Z"", ""Product Category"": ""Electronics""}, {""Timestamp"": ""2022-04-07T00:00:00Z"", ""Product Category"": ""Electronics""}, {""Timestamp"": ""2022-10-02T00:00:00Z"", ""Product Category"": ""Home & Garden""}, {""Timestamp"": ""2022-09-26T00:00:00Z"", ""Product Category"": ""Electronics""}, {""Timestamp"": ""2022-04-03T00:00:00Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2022-09-29T00:00:00Z"", ""Product Category"": ""Electronics""}, {""Timestamp"": ""2022-03-31T00:00:00Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2022-04-03T00:00:00Z"", ""Product Category"": ""Electronics""}, {""Timestamp"": ""2022-10-06T00:00:00Z"", ""Product Category"": ""Electronics""}, {""Timestamp"": ""2022-09-29T00:00:00Z"", ""Product Category"": ""Clothing""}]",,93.9
1007,47,Other,City K,53295,"[{""Date"": ""2022-12-08"", ""Category"": ""Home & Garden"", ""Price"": 143.54}, {""Date"": ""2022-06-03"", ""Category"": ""Beauty & Health"", ""Price"": 51.84}]","[{""Timestamp"": ""2022-12-05T00:00:00Z"", ""Product Category"": ""Home & Garden""}, {""Timestamp"": ""2022-12-05T00:00:00Z"", ""Product Category"": ""Home & Garden""}, {""Timestamp"": ""2022-05-30T00:00:00Z"", ""Product Category"": ""Electronics""}, {""Timestamp"": ""2022-06-04T00:00:00Z"", ""Product Category"": ""Home & Garden""}, {""Timestamp"": ""2022-12-11T00:00:00Z"", ""Product Category"": ""Beauty & Health""}, {""Timestamp"": ""2022-12-01T00:00:00Z"", ""Product Category"": ""Home & Garden""}, {""Timestamp"": ""2022-05-29T00:00:00Z"", ""Product Category"": ""Clothing""}]",Absolutely love this home & garden! Perfect quality. Rating: 4.6 stars. ⭐⭐⭐⭐☆ Okay for the price. Rating: 3.9 stars. ⭐⭐⭐☆☆,60.6
1008,32,Male,City I,47508,"[{""Date"": ""2022-07-09"", ""Category"": ""Electronics"", ""Price"": 167.22}]","[{""Timestamp"": ""2022-07-04T00:00:00Z"", ""Product Category"": ""Electronics""}, {""Timestamp"": ""2022-07-16T00:00:00Z"", ""Product Category"": ""Electronics""}, {""Timestamp"": ""2022-07-07T00:00:00Z"", ""Product Category"": ""Home & Garden""}, {""Timestamp"": ""2022-07-11T00:00:00Z"", ""Product Category"": ""Home & Garden""}, {""Timestamp"": ""2022-07-15T00:00:00Z"", ""Product Category"": ""Electronics""}, {""Timestamp"": ""2022-07-02T00:00:00Z"", ""Product Category"": ""Electronics""}, {""Timestamp"": ""2022-07-14T00:00:00Z"", ""Product Category"": ""Books""}]",,55.5
1009,44,Male,City E,36756,"[{""Date"": ""2022-12-26"", ""Category"": ""Electronics"", ""Price"": 49.82}]","[{""Timestamp"": ""2022-12-22T00:00:00Z"", ""Product Category"": ""Electronics""}, {""Timestamp"": ""2022-12-23T00:00:00Z"", ""Product Category"": ""Beauty & Health""}]",,26.8
1010,32,Male,City A,50454,"[{""Date"": ""2022-07-24"", ""Category"": ""Clothing"", ""Price"": 32.28}, {""Date"": ""2022-02-05"", ""Category"": ""Home & Garden"", ""Price"": 164.87}]","[{""Timestamp"": ""2022-02-08T00:00:00Z"", ""Product Category"": ""Home & Garden""}, {""Timestamp"": ""2022-07-18T00:00:00Z"", ""Product Category"": ""Beauty & Health""}, {""Timestamp"": ""2022-01-31T00:00:00Z"", ""Product Category"": ""Home & Garden""}, {""Timestamp"": ""2022-07-18T00:00:00Z"", ""Product Category"": ""Home & Garden""}, {""Timestamp"": ""2022-02-04T00:00:00Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2022-07-23T00:00:00Z"", ""Product Category"": ""Clothing""}, {""Timestamp"": ""2022-07-21T00:00:00Z"", ""Product Category"": ""Home & Garden""}, {""Timestamp"": ""2022-07-25T00:00:00Z"", ""Product Category"": ""Sports & Outdoors""}, {""Timestamp"": ""2022-07-22T00:00:00Z"", ""Product Category"": ""Home & Garden""}]",,59.8
1011,32,Other,City B,37271,"[{""Date"": ""2022-06-03"", ""Category"": ""Electronics"", ""Price"": 140.91}]","[{""Timestamp"": ""2022-06-02T00:00:00Z"", ""Product Category"": ""Books""}, {""Timestamp"": ""2022-05-30T00:00:00Z"", ""Product Category"": ""Electronics""}, {""Timestamp"": ""2022-06-05T00:00:00Z"", ""Product Category"": ""Electronics""}, {""Timestamp"": ""2022-05-31T00:00:00Z"", ""Product Category"": ""Electronics""}, {""Timestamp"": ""2022-06-03T00:00:00Z"", ""Product Category"": ""Electronics""}, {""Timestamp"": ""2022-06-08T00:00:00Z"", ""Product Category"": ""Clothing""}]",,32.5
