Customer ID,Age,Gender,Location,Annual Income,Purchase History,Browsing History,Product Reviews,Time on Site
1000,48,Other,City B,150000,"[{""Date"": ""2022-05-21"", ""Category"": ""Clothing"", ""Price"": 70.49}, {""Date"": ""2022-03-13"", ""Category"": ""Electronics"", ""Price"": 671.29}, {""Date"": ""2022-12-13"", ""Category"": ""Clothing"", ""Price"": 168.65}, {""Date"": ""2022-10-07"", ""Category"": ""Sports & Outdoors"", ""Price"": 68.86}]","[{""Timestamp"": ""2022-05-14T00:00:00Z"", ""Product Category"": ""Electronics"", ""Session Duration"": 3.6}, {""Timestamp"": ""2022-05-22T00:00:00Z"", ""Product Category"": ""Sports & Outdoors"", ""Session Duration"": 2.6}, {""Timestamp"": ""2022-12-18T00:00:00Z"", ""Product Category"": ""Clothing"", ""Session Duration"": 4.5}, {""Timestamp"": ""2022-03-17T00:00:00Z"", ""Product Category"": ""Clothing"", ""Session Duration"": 2.4}, {""Timestamp"": ""2022-12-07T00:00:00Z"", ""Product Category"": ""Clothing"", ""Session Duration"": 3.1}, {""Timestamp"": ""2022-12-15T00:00:00Z"", ""Product Category"": ""Clothing"", ""Session Duration"": 4.4}, {""Timestamp"": ""2022-05-28T00:00:00Z"", ""Product Category"": ""Clothing"", ""Session Duration"": 4.8}, {""Timestamp"": ""2022-12-15T00:00:00Z"", ""Product Category"": ""Clothing"", ""Session Duration"": 2.0}]","{""reviews"": [{""Product"": ""Clothing"", ""Rating"": 3.5, ""Review"": ""Decent clothing. Does the job.""}, {""Product"": ""Sports & Outdoors"", ""Rating"": 2.8, ""Review"": ""Quality could be better. Expected more.""}]}",28.7
1001,40,Female,City H,150000,"[{""Date"": ""2022-07-06"", ""Category"": ""Electronics"", ""Price"": 216.82}, {""Date"": ""2022-07-01"", ""Category"": ""Books"", ""Price"": 22.52}, {""Date"": ""2022-05-17"", ""Category"": ""Electronics"", ""Price"": 643.84}, {""Date"": ""2022-12-16"", ""Category"": ""Clothing"", ""Price"": 150.31}, {""Date"": ""2022-11-08"", ""Category"": ""Clothing"", ""Price"": 147.73}]","[{""Timestamp"": ""2022-06-26T00:00:00Z"", ""Product Category"": ""Electronics"", ""Session Duration"": 7.9}, {""Timestamp"": ""2022-11-04T00:00:00Z"", ""Product Category"": ""Electronics"", ""Session Duration"": 7.1}, {""Timestamp"": ""2022-07-02T00:00:00Z"", ""Product Category"": ""Clothing"", ""Session Duration"": 6.9}, {""Timestamp"": ""2022-12-13T00:00:00Z"", ""Product Category"": ""Clothing"", ""Session Duration"": 7.3}, {""Timestamp"": ""2022-05-13T00:00:00Z"", ""Product Category"": ""Home & Garden"", ""Session Duration"": 4.8}, {""Timestamp"": ""2022-12-11T00:00:00Z"", ""Product Category"": ""Books"", ""Session Duration"": 6.6}, {""Timestamp"": ""2022-11-05T00:00:00Z"", ""Product Category"": ""Home & Garden"", ""Session Duration"": 4.9}, {""Timestamp"": ""2022-11-07T00:00:00Z"", ""Product Category"": ""Books"", ""Session Duration"": 5.4}, {""Timestamp"": ""2022-07-11T00:00:00Z"", ""Product Category"": ""Electronics"", ""Session Duration"": 3.5}, {""Timestamp"": ""2022-07-06T00:00:00Z"", ""Product Category"": ""Books"", ""Session Duration"": 5.8}, {""Timestamp"": ""2022-12-15T00:00:00Z"", ""Product Category"": ""Clothing"", ""Session Duration"": 5.5}, {""Timestamp"": ""2022-11-14T00:00:00Z"", ""Product Category"": ""Sports & Outdoors"", ""Session Duration"": 6.3}, {""Timestamp"": ""2022-07-09T00:00:00Z"", ""Product Category"": ""Sports & Outdoors"", ""Session Duration"": 6.6}]",,69.0
1002,41,Female,City B,146895,"[{""Date"": ""2022-03-22"", ""Category"": ""Sports & Outdoors"", ""Price"": 173.76}, {""Date"": ""2022-05-15"", ""Category"": ""Clothing"", ""Price"": 214.43}, {""Date"": ""2022-04-02"", ""Category"": ""Clothing"", ""Price"": 122.52}, {""Date"": ""2022-02-24"", ""Category"": ""Electronics"", ""Price"": 777.45}]","[{""Timestamp"": ""2022-05-10T00:00:00Z"", ""Product Category"": ""Clothing"", ""Session Duration"": 5.4}, {""Timestamp"": ""2022-03-24T00:00:00Z"", ""Product Category"": ""Sports & Outdoors"", ""Session Duration"": 3.2}, {""Timestamp"": ""2022-04-09T00:00:00Z"", ""Product Category"": ""Beauty & Health"", ""Session Duration"": 6.8}, {""Timestamp"": ""2022-05-08T00:00:00Z"", ""Product Category"": ""Sports & Outdoors"", ""Session Duration"": 3.1}, {""Timestamp"": ""2022-03-02T00:00:00Z"", ""Product Category"": ""Clothing"", ""Session Duration"": 3.3}, {""Timestamp"": ""2022-02-25T00:00:00Z"", ""Product Category"": ""Electronics"", ""Session Duration"": 7.6}, {""Timestamp"": ""2022-05-19T00:00:00Z"", ""Product Category"": ""Clothing"", ""Session Duration"": 4.9}, {""Timestamp"": ""2022-02-18T00:00:00Z"", ""Product Category"": ""Sports & Outdoors"", ""Session Duration"": 4.4}, {""Timestamp"": ""2022-05-17T00:00:00Z"", ""Product Category"": ""Sports & Outdoors"", ""Session Duration"": 6.3}]","{""reviews"": [{""Product"": ""Sports & Outdoors"", ""Rating"": 3.9, ""Review"": ""Average quality. Met basic expectations.""}]}",47.0
1003,45,Male,City I,150000,"[{""Date"": ""2022-12-09"", ""Category"": ""Electronics"", ""Price"": 472.45}, {""Date"": ""2022-10-04"", ""Category"": ""Clothing"", ""Price"": 48.2}, {""Date"": ""2022-10-20"", ""Category"": ""Electronics"", ""Price"": 544.36}, {""Date"": ""2022-05-05"", ""Category"": ""Electronics"", ""Price"": 709.42}]","[{""Timestamp"": ""2022-09-28T00:00:00Z"", ""Product Category"": ""Electronics"", ""Session Duration"": 2.3}, {""Timestamp"": ""2022-05-05T00:00:00Z"", ""Product Category"": ""Electronics"", ""Session Duration"": 1.5}, {""Timestamp"": ""2022-12-02T00:00:00Z"", ""Product Category"": ""Electronics"", ""Session Duration"": 3.4}, {""Timestamp"": ""2022-12-05T00:00:00Z"", ""Product Category"": ""Electronics"", ""Session Duration"": 1.7}, {""Timestamp"": ""2022-10-01T00:00:00Z"", ""Product Category"": ""Electronics"", ""Session Duration"": 2.5}, {""Timestamp"": ""2022-12-02T00:00:00Z"", ""Product Category"": ""Home & Garden"", ""Session Duration"": 2.7}, {""Timestamp"": ""2022-12-03T00:00:00Z"", ""Product Category"": ""Beauty & Health"", ""Session Duration"": 3.6}, {""Timestamp"": ""2022-10-03T00:00:00Z"", ""Product Category"": ""Clothing"", ""Session Duration"": 3.6}]",,21.1
1004,33,Male,City G,150000,"[{""Date"": ""2022-07-19"", ""Category"": ""Home & Garden"", ""Price"": 170.11}, {""Date"": ""2022-08-21"", ""Category"": ""Electronics"", ""Price"": 313.92}, {""Date"": ""2022-12-23"", ""Category"": ""Beauty & Health"", ""Price"": 158.66}, {""Date"": ""2022-10-12"", ""Category"": ""Sports & Outdoors"", ""Price"": 233.3}]","[{""Timestamp"": ""2022-08-17T00:00:00Z"", ""Product Category"": ""Home & Garden"", ""Session Duration"": 3.9}, {""Timestamp"": ""2022-07-23T00:00:00Z"", ""Product Category"": ""Home & Garden"", ""Session Duration"": 4.0}, {""Timestamp"": ""2022-08-14T00:00:00Z"", ""Product Category"": ""Clothing"", ""Session Duration"": 2.1}, {""Timestamp"": ""2022-08-15T00:00:00Z"", ""Product Category"": ""Electronics"", ""Session Duration"": 3.3}, {""Timestamp"": ""2022-08-23T00:00:00Z"", ""Product Category"": ""Home & Garden"", ""Session Duration"": 3.4}, {""Timestamp"": ""2022-12-30T00:00:00Z"", ""Product Category"": ""Beauty & Health"", ""Session Duration"": 2.7}, {""Timestamp"": ""2022-10-07T00:00:00Z"", ""Product Category"": ""Electronics"", ""Session Duration"": 2.9}, {""Timestamp"": ""2022-12-30T00:00:00Z"", ""Product Category"": ""Clothing"", ""Session Duration"": 2.1}]","{""reviews"": [{""Product"": ""Home & Garden"", ""Rating"": 4.0, ""Review"": ""Works well and looks good. No complaints.""}, {""Product"": ""Sports & Outdoors"", ""Rating"": 4.1, ""Review"": ""Good quality for the price. Satisfied customer.""}, {""Product"": ""Beauty & Health"", ""Rating"": 3.7, ""Review"": ""Decent beauty & health. Does the job.""}]}",29.2
1005,52,Female,City O,150000,"[{""Date"": ""2022-05-06"", ""Category"": ""Beauty & Health"", ""Price"": 71.37}, {""Date"": ""2022-03-22"", ""Category"": ""Clothing"", ""Price"": 108.76}, {""Date"": ""2022-10-06"", ""Category"": ""Beauty & Health"", ""Price"": 120.98}, {""Date"": ""2022-11-10"", ""Category"": ""Beauty & Health"", ""Price"": 162.6}]","[{""Timestamp"": ""2022-05-09T00:00:00Z"", ""Product Category"": ""Sports & Outdoors"", ""Session Duration"": 3.5}, {""Timestamp"": ""2022-05-13T00:00:00Z"", ""Product Category"": ""Beauty & Health"", ""Session Duration"": 6.0}, {""Timestamp"": ""2022-03-19T00:00:00Z"", ""Product Category"": ""Clothing"", ""Session Duration"": 5.3}, {""Timestamp"": ""2022-03-25T00:00:00Z"", ""Product Category"": ""Electronics"", ""Session Duration"": 3.3}, {""Timestamp"": ""2022-11-07T00:00:00Z"", ""Product Category"": ""Sports & Outdoors"", ""Session Duration"": 5.8}, {""Timestamp"": ""2022-05-09T00:00:00Z"", ""Product Category"": ""Beauty & Health"", ""Session Duration"": 2.3}, {""Timestamp"": ""2022-10-11T00:00:00Z"", ""Product Category"": ""Beauty & Health"", ""Session Duration"": 2.9}, {""Timestamp"": ""2022-11-11T00:00:00Z"", ""Product Category"": ""Electronics"", ""Session Duration"": 4.6}, {""Timestamp"": ""2022-04-30T00:00:00Z"", ""Product Category"": ""Home & Garden"", ""Session Duration"": 5.1}, {""Timestamp"": ""2022-03-23T00:00:00Z"", ""Product Category"": ""Beauty & Health"", ""Session Duration"": 4.7}, {""Timestamp"": ""2022-03-21T00:00:00Z"", ""Product Category"": ""Beauty & Health"", ""Session Duration"": 3.7}, {""Timestamp"": ""2022-05-13T00:00:00Z"", ""Product Category"": ""Clothing"", ""Session Duration"": 5.0}]","{""reviews"": [{""Product"": ""Beauty & Health"", ""Rating"": 3.7, ""Review"": ""Decent beauty & health. Does the job.""}, {""Product"": ""Beauty & Health"", ""Rating"": 5, ""Review"": ""Absolutely love this beauty & health! Perfect.""}, {""Product"": ""Beauty & Health"", ""Rating"": 3.4, ""Review"": ""Decent beauty & health. Does the job.""}]}",51.8
1006,55,Female,City A,145634,"[{""Date"": ""2022-06-20"", ""Category"": ""Books"", ""Price"": 54.03}, {""Date"": ""2022-07-30"", ""Category"": ""Clothing"", ""Price"": 180.84}, {""Date"": ""2022-05-08"", ""Category"": ""Beauty & Health"", ""Price"": 56.12}, {""Date"": ""2022-12-26"", ""Category"": ""Clothing"", ""Price"": 43.4}]","[{""Timestamp"": ""2022-12-22T00:00:00Z"", ""Product Category"": ""Clothing"", ""Session Duration"": 5.2}, {""Timestamp"": ""2022-07-26T00:00:00Z"", ""Product Category"": ""Clothing"", ""Session Duration"": 5.5}, {""Timestamp"": ""2022-05-14T00:00:00Z"", ""Product Category"": ""Beauty & Health"", ""Session Duration"": 5.2}, {""Timestamp"": ""2022-12-29T00:00:00Z"", ""Product Category"": ""Clothing"", ""Session Duration"": 6.4}, {""Timestamp"": ""2022-06-14T00:00:00Z"", ""Product Category"": ""Home & Garden"", ""Session Duration"": 4.7}, {""Timestamp"": ""2022-05-01T00:00:00Z"", ""Product Category"": ""Clothing"", ""Session Duration"": 5.2}]",,36.8
1007,39,Female,City J,146925,"[{""Date"": ""2022-03-01"", ""Category"": ""Electronics"", ""Price"": 393.07}, {""Date"": ""2022-10-23"", ""Category"": ""Electronics"", ""Price"": 238.54}, {""Date"": ""2022-01-23"", ""Category"": ""Electronics"", ""Price"": 649.36}, {""Date"": ""2022-01-01"", ""Category"": ""Sports & Outdoors"", ""Price"": 192.7}, {""Date"": ""2022-10-03"", ""Category"": ""Home & Garden"", ""Price"": 388.11}]","[{""Timestamp"": ""2022-01-22T00:00:00Z"", ""Product Category"": ""Electronics"", ""Session Duration"": 5.7}, {""Timestamp"": ""2022-03-05T00:00:00Z"", ""Product Category"": ""Clothing"", ""Session Duration"": 5.1}, {""Timestamp"": ""2021-12-30T00:00:00Z"", ""Product Category"": ""Electronics"", ""Session Duration"": 5.4}, {""Timestamp"": ""2022-10-22T00:00:00Z"", ""Product Category"": ""Electronics"", ""Session Duration"": 4.5}, {""Timestamp"": ""2022-10-25T00:00:00Z"", ""Product Category"": ""Sports & Outdoors"", ""Session Duration"": 5.4}, {""Timestamp"": ""2022-02-26T00:00:00Z"", ""Product Category"": ""Sports & Outdoors"", ""Session Duration"": 6.6}, {""Timestamp"": ""2022-10-06T00:00:00Z"", ""Product Category"": ""Sports & Outdoors"", ""Session Duration"": 4.8}, {""Timestamp"": ""2022-10-24T00:00:00Z"", ""Product Category"": ""Electronics"", ""Session Duration"": 5.9}]","{""reviews"": [{""Product"": ""Home & Garden"", ""Rating"": 3.5, ""Review"": ""Decent home & garden. Does the job.""}, {""Product"": ""Electronics"", ""Rating"": 3.7, ""Review"": ""Okay for the price, but nothing special.""}, {""Product"": ""Electronics"", ""Rating"": 4.6, ""Review"": ""High quality and excellent value. Highly recommend!""}]}",40.9
1008,41,Male,City M,147056,"[{""Date"": ""2022-01-13"", ""Category"": ""Clothing"", ""Price"": 31.15}, {""Date"": ""2022-09-01"", ""Category"": ""Books"", ""Price"": 44.62}, {""Date"": ""2022-02-07"", ""Category"": ""Home & Garden"", ""Price"": 268.45}, {""Date"": ""2022-11-19"", ""Category"": ""Home & Garden"", ""Price"": 330.62}]","[{""Timestamp"": ""2022-11-18T00:00:00Z"", ""Product Category"": ""Clothing"", ""Session Duration"": 6.3}, {""Timestamp"": ""2022-01-18T00:00:00Z"", ""Product Category"": ""Books"", ""Session Duration"": 5.9}, {""Timestamp"": ""2022-11-12T00:00:00Z"", ""Product Category"": ""Clothing"", ""Session Duration"": 4.3}, {""Timestamp"": ""2022-11-22T00:00:00Z"", ""Product Category"": ""Home & Garden"", ""Session Duration"": 6.5}, {""Timestamp"": ""2022-11-21T00:00:00Z"", ""Product Category"": ""Clothing"", ""Session Duration"": 6.3}, {""Timestamp"": ""2022-11-25T00:00:00Z"", ""Product Category"": ""Clothing"", ""Session Duration"": 4.2}, {""Timestamp"": ""2022-09-05T00:00:00Z"", ""Product Category"": ""Home & Garden"", ""Session Duration"": 4.3}, {""Timestamp"": ""2022-09-07T00:00:00Z"", ""Product Category"": ""Clothing"", ""Session Duration"": 5.7}, {""Timestamp"": ""2022-11-22T00:00:00Z"", ""Product Category"": ""Home & Garden"", ""Session Duration"": 2.6}, {""Timestamp"": ""2022-02-03T00:00:00Z"", ""Product Category"": ""Home & Garden"", ""Session Duration"": 6.3}]","{""reviews"": [{""Product"": ""Books"", ""Rating"": 5, ""Review"": ""High quality and excellent value. Highly recommend!""}]}",44.9
1009,54,Other,City C,150000,"[{""Date"": ""2022-02-02"", ""Category"": ""Electronics"", ""Price"": 416.58}, {""Date"": ""2022-06-19"", ""Category"": ""Sports & Outdoors"", ""Price"": 199.19}, {""Date"": ""2022-08-01"", ""Category"": ""Beauty & Health"", ""Price"": 25.75}, {""Date"": ""2022-08-04"", ""Category"": ""Books"", ""Price"": 32.42}, {""Date"": ""2022-10-27"", ""Category"": ""Clothing"", ""Price"": 209.32}]","[{""Timestamp"": ""2022-10-26T00:00:00Z"", ""Product Category"": ""Beauty & Health"", ""Session Duration"": 4.6}, {""Timestamp"": ""2022-08-10T00:00:00Z"", ""Product Category"": ""Clothing"", ""Session Duration"": 7.6}, {""Timestamp"": ""2022-10-31T00:00:00Z"", ""Product Category"": ""Home & Garden"", ""Session Duration"": 7.4}, {""Timestamp"": ""2022-06-19T00:00:00Z"", ""Product Category"": ""Books"", ""Session Duration"": 5.6}, {""Timestamp"": ""2022-08-02T00:00:00Z"", ""Product Category"": ""Clothing"", ""Session Duration"": 7.4}, {""Timestamp"": ""2022-06-25T00:00:00Z"", ""Product Category"": ""Sports & Outdoors"", ""Session Duration"": 8.5}, {""Timestamp"": ""2022-10-20T00:00:00Z"", ""Product Category"": ""Sports & Outdoors"", ""Session Duration"": 6.2}]",,40.0
